"","playerId","playerName","LA_RAPM","LA_RAPM__Def","LA_RAPM__Off","RAPM","RAPM__Def","RAPM__Off","season","Team","MP"
"71",101114,"Deron Williams",1.38,-1.92,3.3,0.14,-1.69,1.84,"2010-11","NJN",2464.91166666667
"72",101114,"Deron Williams",-0.17,-1.95,1.79,-0.77,-2.08,1.32,"2011-12","NJN",1998.76166666667
"73",101114,"Deron Williams",2,-1.01,3.01,0.52,-1.71,2.23,"2012-13","BKN",2842.16
"74",101114,"Deron Williams",3.8,1.08,2.73,2.03,0.24,1.79,"2013-14","BKN",2059.345
"75",101114,"Deron Williams",0.84,0.11,0.73,1.02,0.15,0.88,"2014-15","BKN",2114.03666666667
"76",101114,"Deron Williams",-0.28,-0.21,-0.07,-0.07,0.7,-0.77,"2015-16","DAL",2106.02166666667
"77",101114,"Deron Williams",1,0.77,0.23,-0.41,-0.22,-0.2,"2016-17","CLE",1657.32666666667
"78",101115,"Andrew Bynum",0.92,0.81,0.11,1.05,0.56,0.48,"2009-10","LAL",1976.94666666667
"79",101115,"Andrew Bynum",1.54,2,-0.46,1.68,2.15,-0.48,"2010-11","LAL",1500.005
"80",101115,"Andrew Bynum",0.04,0.14,-0.1,0.48,0.56,-0.08,"2011-12","LAL",2111.54
"81",101115,"Andrew Bynum",-1.74,0.4,-2.14,-1.22,0.01,-1.23,"2013-14","IND",515.511666666667
"82",101121,"Joey Graham",-1.77,0.41,-2.18,-1.86,0.1,-1.96,"2009-10","DEN",758.828333333333
"83",101121,"Joey Graham",-2.34,-0.76,-1.58,-0.4,0.25,-0.65,"2010-11","CLE",586.25
"84",101122,"Danny Granger",2.73,0.79,1.93,2.3,0.72,1.59,"2009-10","IND",2278.22
"85",101122,"Danny Granger",2.67,0.12,2.55,1.09,0.42,0.67,"2010-11","IND",2762.99833333333
"86",101122,"Danny Granger",2.54,0.43,2.1,4.08,1.41,2.66,"2011-12","IND",2062.08666666667
"87",101122,"Danny Granger",-0.07,0.07,-0.14,-0.44,-0.01,-0.43,"2012-13","IND",73.6666666666667
"88",101122,"Danny Granger",1.29,1.09,0.2,0.69,1.14,-0.46,"2013-14","LAC",847.598333333333
"89",101122,"Danny Granger",-0.07,-0.12,0.05,-1.08,-0.75,-0.33,"2014-15","PHX",612.741666666667
"90",101123,"Gerald Green",0.37,0.04,0.33,0.57,0.15,0.42,"2011-12","NJN",781.413333333333
