"TeamSeason","team_score1","assists1","blocks1","defensive_rebounds1","fast_break_points1","field_goals_made1","field_goals_attempted1","flagrant_fouls1","fouls1","free_throws_made1","free_throws_attempted1","offensive_rebounds1","points_in_paint1","steals1","team_turnovers1","technical_fouls1","three_point_field_goals_made1","three_point_field_goals_attempted1","total_rebounds1","total_technical_fouls1","turnover_points1","turnovers1","team_score2","assists2","blocks2","defensive_rebounds2","fast_break_points2","field_goals_made2","field_goals_attempted2","flagrant_fouls2","fouls2","free_throws_made2","free_throws_attempted2","offensive_rebounds2","points_in_paint2","steals2","team_turnovers2","technical_fouls2","three_point_field_goals_made2","three_point_field_goals_attempted2","total_rebounds2","total_technical_fouls2","turnover_points2","turnovers2","Games","Wins","Team_Stats","Opponent_Stats","Possessions"
"2016Heat",119.089563952571,26.0246076311257,8.12519431801274,42.1850494665828,13.9117718212469,46.3525845595856,101.25011517317,0.0299822668561356,21.9170370718351,19.1586685210706,25.6048558951398,12.2927294110156,52.8887187342231,7.79538938259525,1.16930840738929,0.749556671403389,7.22572631232867,21.8570725381228,63.8622284035688,0.749556671403389,20.0281542598986,16.9399807737166,121.638056635342,26.984040170522,5.99645337122711,39.2168050478253,15.3509206303414,46.3825668264417,104.638111327913,0.0899468005684067,23.0563632123683,19.8482606587617,25.2450686928662,12.2627471441594,52.2890733971004,9.20455592483362,0.659609870834983,0.53968080341044,9.02466232369681,25.21508642601,61.1338421196604,0.53968080341044,17.2997679759902,14.4214703578012,41,20,3290.04487776484,3380.56481828194,3335.30484802339
"2016Hornets",122.174956483838,24.5820129050514,4.88111739502218,40.4015379563884,11.2912595161959,44.0770781634834,102.003591827301,0.0588086433135202,22.0238369209133,21.1417072712105,26.7579327076517,10.9972162996283,43.8712479118861,9.17414835690915,0.852725328046043,0.646895076448722,12.8790928856609,35.6086335263365,60.6905198995529,0.646895076448722,18.4071053571318,14.466926255126,123.292320706795,29.1396827618493,6.1160989046061,44.0476738418266,14.4963305767827,45.9295504278593,100.65099303109,0.0882129649702803,23.6410746120351,20.1125560132239,25.493546876411,10.7325774047174,48.046661587146,8.32142302886311,0.264638894910841,0.793916684732523,11.3206638378526,29.5807475867007,62.9546526671234,0.793916684732523,18.87757450364,16.7016547010397,41,18,3440.87040598291,3360.85086256469,3400.8606342738
"2016Jazz",123.401067174024,26.2099016446718,6.49806576955684,39.2371244075633,11.659208916669,46.3570146526758,104.621968012243,0.0310912237777839,26.5519051062275,20.4891164695596,27.1115471342276,14.675057623114,54.6583714013441,9.54500569977966,1.02601038466687,0.373094685333407,10.1979213991131,29.070294232228,64.3588332200127,0.373094685333407,20.862211154893,17.9085448960035,125.857273852469,27.2048208055609,7.39971125911257,39.2060331837855,16.6648959448922,47.0099303520093,101.543936858242,0.0621824475555678,24.0024247564492,22.2302250011155,29.1946591273391,12.0012123782246,53.7256346880106,9.82482671377971,0.932736713333517,0.71509814688903,9.60718814733523,26.8317261202275,62.0269914366789,0.71509814688903,19.9294744415595,16.4783486022255,41,16,3200.66903635315,3232.01439320388,3216.34171477851
"2016Kings",123.453659089134,29.3665747948747,5.78778124598017,39.7446653049081,19.9863776031138,46.8439634834749,101.842140939119,0.0285112376649269,24.4056194411774,20.4710686434175,28.3686814766023,12.1742984829238,57.1935427558434,10.919804025667,0.855337129947808,0.684269703958246,9.29466347876618,26.3158723647276,62.2685430602004,0.684269703958246,21.4974731993549,17.8765460159092,127.929923402527,29.0814624182255,6.92823075257724,39.8587102555678,16.7360965093121,47.8133455640825,103.666860149674,0.0570224753298539,24.2915744905177,20.6136248317422,27.3422769206649,13.6853940791649,55.3118010699582,10.1214893710491,0.427668564973904,1.02640455593737,11.68960744262,31.7330075210637,63.209413903143,1.02640455593737,19.7297764641294,17.8765460159092,41,15,3517.07352876712,3497.70437566702,3507.38895221707
"2016Knicks",119.218847980129,25.1628119210489,7.01112587174445,41.0566777743679,10.3978561657227,44.4434080683462,101.156286412245,0.0594163209469868,24.984562958208,21.0333776152333,26.7967607470911,12.4180110779202,40.9972614534209,7.24879115553239,1.03978561657227,0.95066113515179,9.29865422820344,26.2323056980947,63.337798129488,0.95066113515179,19.2805961472972,15.596784248584,124.061278137309,26.2025975376212,5.4068852061758,40.462514564898,17.4981065188876,46.1367732153353,104.335059582909,0.0891244814204803,22.8158672436429,22.7267427622225,29.9458257572814,13.725170138754,53.4152725313412,8.31828493257816,0.623871369943362,0.564455048996375,9.06098894441549,26.3808465004622,64.5558327089012,0.564455048996375,13.9925435830154,12.8933416454961,41,14,3321.12621348315,3411.03077006508,3366.07849177411
"2016Lakers",117.240652145439,20.509079941714,4.67443417474963,37.5707646795501,14.4031003009473,42.0991227863388,101.493652019251,0.116860854368741,24.7452859125808,22.7878666019044,29.3612896601461,12.6794026990084,41.4856033009029,8.93985535920866,0.730380339804629,0.496658631067148,10.254539970857,30.2669612815038,60.6215682037842,0.496658631067148,21.1225994271499,16.3313043980315,132.724715349297,30.1208852135429,6.22284049513544,42.9463639805122,20.6551560096749,50.0456608834132,103.304995261967,0,22.0574862620998,21.2686754951108,29.3320744465539,13.5850743203661,56.5606535144705,9.2612227087227,0.613519485435889,1.02253247572648,11.36471808736,30.5591134174257,66.6691174173666,1.02253247572648,16.3020891844393,14.3446698737629,41,5,3405.15727941176,3440.59106225014,3422.87417083095
"2016Magic",120.175651525394,27.0424641899698,5.76748964225689,39.4013705662346,15.890022483769,46.846140359556,104.079647268687,0.0294259675625352,25.3357580713428,17.6261545699586,23.0993845365901,11.7409610574515,52.2016664559374,9.53401349026139,0.559093383688168,0.706223221500844,8.85721623632308,26.2773890333439,59.6170102816962,0.706223221500844,19.685972299336,16.3902639323321,126.914198097214,29.6319493354729,6.41486092863266,42.3733932900506,16.71394957552,46.9049922946811,100.40140132337,0.147129837812676,21.3926784179631,21.8929198665262,29.6613753030354,12.2706284735772,55.0854112770658,9.1220499443859,0.735649189063379,0.382537578312957,11.2112936413259,30.7207101352867,64.3545910592644,0.382537578312957,20.4804734235245,16.9493573160203,41,12,3418.46174551387,3378.25613895216,3398.35894223302
"2016Mavericks",119.618790200707,26.3621074974071,5.00472680966228,40.8234401974197,10.0094536193246,44.0532348245854,100.880161913367,0.116388995573541,23.8015495947892,19.6115457541417,25.4309955328188,10.271328859365,43.5876788422913,7.21611772555957,0.43645873340078,1.10569545794864,11.9007747973946,34.9748931698492,60.3476942048812,1.10569545794864,16.8473071092701,14.4031382022258,123.1686545657,27.4969002042492,5.26660204970275,43.2094146066773,18.4767530472997,45.9154587537621,101.433009642341,0.0872917466801561,24.5871753149106,20.1352962342227,27.8751644398632,11.3770243173137,49.5817121143287,8.70007741912222,0.552847728974322,1.07659820905526,11.2024408239534,32.6471132583784,65.5561017567972,1.07659820905526,17.8075163227518,14.9559859312001,41,19,3430.25743743199,3443.24461538461,3436.7510264083
"2016Nets",119.421252238815,26.6499199144393,4.9154296731077,38.6127728538099,14.1836795989071,46.2228055404886,104.319630953966,0.0592220442543096,21.9417673962217,19.6913297145579,25.820811294879,13.384182001474,57.0308286169001,9.68280423557962,0.325721243398703,0.503387376161632,7.28431144328008,21.5568241085687,60.8210394491759,0.503387376161632,21.6456571749502,16.9375046567325,131.117605979041,31.180406299894,7.61003268667878,41.4850420001439,18.2996116745817,50.309126594036,104.793407308001,0.0296110221271548,22.1786555732389,18.8029990507433,24.1922050778855,13.4730150678554,60.0511528738699,10.2158026338684,0.799497597433179,0.710664531051715,11.6963537402261,31.5357385654199,63.2787542857298,0.710664531051715,17.8258353205472,16.4045062584438,41,7,3370.71058823529,3383.53109721433,3377.12084272481
"2016Nuggets",122.380157929894,27.785214906373,5.54511799633624,39.9486995434976,15.6515427315942,46.4180038725566,105.595741629156,0.0596249246917875,24.7145312847459,19.6762251482899,25.9666547032735,14.876418710601,55.272305189287,9.30148825191885,0.626061709263769,0.596249246917875,9.86792503649084,29.0075258625546,64.6930432905895,0.596249246917875,20.779286255088,17.5297278593855,127.090526980545,28.619963852058,8.01955237104542,40.5151363280696,17.0527284618512,47.431627592317,103.091494792101,0,23.7605324896773,20.7494737927421,27.3380279711846,12.640484034659,53.3643075991498,9.98717488587441,0.685686633955557,0.626061709263769,11.4777980031691,30.319274205774,63.0235453992194,0.626061709263769,20.212849470516,16.3670418278957,41,15,3340.97424650161,3367.62961451247,3354.30193050704
"2016Pacers",121.76759202671,25.7416338122842,5.8277418983442,40.2670608553934,16.1361094773249,45.5091000503864,102.585828491959,0.0292851351675588,25.8587743529544,20.8803013744694,27.0594648948243,12.4754675813801,48.6718946484827,10.8647851471643,0.849268919859205,0.468562162680941,9.86909055146732,27.9673040850187,61.6159243925437,0.468562162680941,20.3238838062858,17.7175067763731,122.529005541066,26.4737621914732,5.15418378949035,41.1749000455877,16.8682378565139,44.9819676173703,101.882985247937,0.0292851351675588,24.8337946220899,22.6666946196905,30.2515446280883,13.0026000143961,52.4789622202654,9.78123514596464,0.819983784691647,0.761413514356529,9.89837568663488,29.4901311137317,66.1258352083478,0.761413514356529,23.1352567823715,18.5960608313998,41,19,3416.66922489083,3412.73411764706,3414.70167126894
