"","team_season","MP","new_LA_RAPM","new_LA_RAPM__Def","new_LA_RAPM__Off","new_RAPM","new_RAPM__Def","new_RAPM__Off"
"115","2012-13 - POR",20245.9266666667,-6239.86593333334,-13853.6223166667,7598.26956666666,-3311.02365000001,-10445.6234833333,7151.34456666665
"116","2012-13 - SAC",19696.09,-6886.48245000002,-16019.59475,9134.16618333332,-3769.20441666668,-16834.68875,13083.1498
"117","2012-13 - SAS",19785.96,24786.1065666667,15999.4656166667,8787.76713333334,28705.9838833334,17181.3314166667,11519.1965833333
"118","2012-13 - TOR",19725.3233333333,3594.52491666666,1020.73031666666,2583.81966666667,7313.91196666666,1634.45315,5684.97211666666
"119","2012-13 - UTA",19880,3475.9202,280.573500000011,3174.74133333333,6530.30830000001,-1042.56078333331,7576.04248333332
"120","2012-13 - WAS",18373.8633333333,-9180.28069999999,8045.41248333335,-17277.8691166667,-265.166966666657,10505.3315,-10832.88185
"121","2013-14 - ATL",19801.5733333333,10244.9108333333,1388.67786666665,8898.77231666667,4003.09309999999,1107.54756666666,2858.79758333333
"122","2013-14 - BKN",20706.1333333333,8545.02778333333,-1686.65705000002,10241.9837,2966.26403333333,-1934.01096666667,4851.875
"123","2013-14 - BOS",18640.7683333333,-13663.9771833333,-4319.66601666665,-9376.58833333332,-11789.4089666667,-4001.41776666666,-7803.9105
"124","2013-14 - CHA",19706.6033333333,10421.5768833333,12912.6267666667,-2502.45510000002,2646.25831666665,6954.27589999999,-4283.41135
"125","2013-14 - CHI",19802.8983333333,16537.3115,18905.1549333333,-2361.82506666667,10060.37075,17276.9576166667,-7241.86645
"126","2013-14 - CLE",21138.4083333333,5308.04638333334,1300.4528,4047.84738333334,-6783.7716,-5124.72806666667,-1692.0367
"127","2013-14 - DAL",19830,17371.7527333333,-2673.29286666667,20086.7610166667,12848.3435,-2547.55976666666,15400.9065833333
"128","2013-14 - DEN",19700.6616666667,1665.51423333331,-4927.82388333334,6604.02823333331,-1865.66468333334,-3737.34788333333,1878.67573333333
"129","2013-14 - DET",19780,2931.83506666666,-10824.7610833333,13787.0240166666,-9484.4445,-11207.7109333333,1699.484
"130","2013-14 - GSW",21366.26,33533.0456833333,15600.0897,17936.0292,22917.2350833333,16036.7611833333,6861.00148333331
